LoanID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,CIBIL_Score,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months
1,20000,20000,0.09,36,debt_consolidation,0.15,MORTGAGE,6541.67,735,14,14272,2
2,19200,19200,0.12,36,debt_consolidation,0.28,MORTGAGE,4583.33,715,12,11140,1
3,35000,35000,0.22,60,debt_consolidation,0.24,MORTGAGE,11500,690,14,21977,1
4,10000,9975,0.1,36,debt_consolidation,0.14,MORTGAGE,3833.33,695,10,9346,0
5,12000,12000,0.12,36,credit_card,0.19,RENT,3195,695,11,14469,0
6,6000,6000,0.15,36,other,0.2,OWN,4891.67,670,17,10391,2
7,10000,10000,0.08,36,debt_consolidation,0.26,RENT,2916.67,720,10,15957,0
8,33500,33450,0.17,60,credit_card,0.15,MORTGAGE,13863.42,705,12,27874,0
9,14675,14675,0.14,36,credit_card,0.27,RENT,3150,685,9,7246,1
10,7000,7000,0.07,36,credit_card,0.07,RENT,5000,715,8,7612,0
11,2000,2000,0.2,36,moving,0.1,RENT,3575,670,10,12036,0
12,10625,10625,0.14,36,debt_consolidation,0.13,MORTGAGE,4250,665,14,10767,0
13,28000,27975,0.22,60,debt_consolidation,0.13,MORTGAGE,14166.67,670,12,10311,0
14,35000,34950,0.09,36,debt_consolidation,0.2,RENT,9166.67,735,19,21536,0
15,9600,9600,0.08,36,debt_consolidation,0.03,RENT,11250,725,13,4606,0
16,25000,24975,0.16,60,debt_consolidation,0.22,RENT,5416.67,730,6,13929,0
17,10000,10000,0.12,36,debt_consolidation,0.18,RENT,9000,695,18,20317,0
18,14000,13900.25,0.1,60,debt_consolidation,0.12,RENT,4333.33,740,6,7419,0
19,10000,10000,0.1,36,credit_card,0.07,RENT,2733.33,730,7,6112,2
20,5200,5175,0.1,60,debt_consolidation,0.1,MORTGAGE,3750,760,10,16094,0
21,22000,21975,0.22,36,debt_consolidation,0.11,MORTGAGE,6666.67,665,9,23124,0
22,30000,30000,0.19,60,credit_card,0.21,MORTGAGE,6250,695,12,34927,0
23,6500,6500,0.18,60,car,0.2,RENT,4100,665,11,11697,1
24,17400,17400,0.12,36,credit_card,0.12,RENT,6833.33,695,7,26587,0
25,4000,4000,0.17,60,vacation,0.14,MORTGAGE,4500,670,5,20804,0
26,7200,7200,0.08,36,debt_consolidation,0.25,RENT,5416.67,705,8,12017,0
27,8000,8000,0.14,36,debt_consolidation,0.25,RENT,2964.17,675,9,8928,2
28,8000,8000,0.15,36,debt_consolidation,0.15,MORTGAGE,2916.67,675,13,7152,1
29,3000,3000,0.09,36,other,0.04,MORTGAGE,4167,765,4,7074,0
30,14500,14500,0.08,36,debt_consolidation,0.05,MORTGAGE,3958.33,760,4,9598,0
31,23850,23850,0.21,60,debt_consolidation,0.29,MORTGAGE,5833.33,685,19,25968,3
32,14000,14000,0.12,36,debt_consolidation,0.15,MORTGAGE,10583.33,685,9,35457,0
33,35000,34975,0.16,60,debt_consolidation,0.07,MORTGAGE,10416.67,720,7,31414,0
34,16000,16000,0.16,60,car,0.12,RENT,5250,685,14,154,1
35,17350,7019.25,0.14,36,debt_consolidation,0.19,OWN,3666.67,675,8,18966,2
36,8000,7975,0.08,36,car,0.3,MORTGAGE,5583.33,780,9,6065,1
37,7200,7200,0.08,36,debt_consolidation,0.08,RENT,5666.67,720,5,8783,0
38,20125,20125,0.08,36,home_improvement,0.04,MORTGAGE,3750,830,13,73952,0
39,12000,11875,0.09,36,debt_consolidation,0.12,RENT,5000,715,11,14717,0
40,2400,1850,0.12,36,home_improvement,0.21,MORTGAGE,3448.33,660,10,18749,5
41,3200,3200,0.17,36,home_improvement,0.08,MORTGAGE,2500,670,7,6619,1
42,12725,12725,0.11,36,debt_consolidation,0.22,RENT,4416.67,720,23,4079,0
43,5500,5500,0.19,36,credit_card,0.04,RENT,12000,660,2,0,1
44,15650,15650,0.22,36,house,0.14,RENT,3700,660,5,10605,1
45,9000,9000,0.17,36,credit_card,0.25,RENT,5166.67,675,14,5852,1
46,5000,5000,0.12,36,major_purchase,0.04,RENT,5577,715,3,1069,0
47,3000,3000,0.1,36,debt_consolidation,0.15,RENT,3083.33,710,11,3098,0
48,20000,19975,0.24,60,debt_consolidation,0.09,MORTGAGE,11250,670,5,11168,0
49,5450,5450,0.07,60,other,0.02,MORTGAGE,4600,785,14,4326,0
50,14000,14000,0.12,36,debt_consolidation,0.11,MORTGAGE,4500,705,22,18583,0
51,8800,8799.04,0.1,60,credit_card,0.22,RENT,3750,750,11,18694,1
52,3000,3000,0.17,36,other,0.16,RENT,7952,660,4,12578,0
53,32000,32000,0.17,60,debt_consolidation,0.16,RENT,9250,700,15,32566,1
54,22250,22250,0.21,60,debt_consolidation,0.29,RENT,4166.67,665,15,14107,0
55,7325,7300,0.18,60,debt_consolidation,0.2,OWN,3000,680,6,13583,0
56,16450,16450,0.11,36,debt_consolidation,0.08,RENT,7500,725,5,2928,0
57,2500,2500,0.13,36,debt_consolidation,0.16,RENT,1100,670,6,5019,1
58,6000,6000,0.1,36,other,0.08,MORTGAGE,2625,715,4,5167,0
59,27575,27575,0.14,36,debt_consolidation,0.2,MORTGAGE,5166.67,690,6,8720,0
60,1000,1000,0.09,36,educational,0.11,OWN,4583.33,755,22,17069,1
61,12000,12000,0.11,36,debt_consolidation,0.13,RENT,2708.33,705,8,12150,1
62,30000,30000,0.1,36,debt_consolidation,0.22,MORTGAGE,8000,715,14,33218,0
63,13500,13500,0.14,36,debt_consolidation,0.32,RENT,4166.67,680,11,31168,0
64,9000,9000,0.16,36,debt_consolidation,0.23,MORTGAGE,3250,665,9,16480,0
65,15000,15000,0.1,36,debt_consolidation,0.09,MORTGAGE,4250,730,11,11615,1
66,5300,5300,0.08,36,medical,0.13,RENT,5500,725,8,9996,2
67,7000,7000,0.13,36,debt_consolidation,0.17,RENT,3650,685,12,6444,1
68,20000,19975,0.16,36,debt_consolidation,0.12,RENT,9166.67,685,10,12421,3
69,15000,14993.57,0.18,60,debt_consolidation,0.14,RENT,2916.67,705,4,12786,0
70,8000,8000,0.14,36,home_improvement,0.12,RENT,5000,695,10,15360,1
71,24000,23947.48,0.19,60,debt_consolidation,0.04,RENT,7500,695,6,8568,1
72,7500,7500,0.09,36,debt_consolidation,0.1,RENT,5500,715,9,2382,0
73,17000,16875,0.12,36,debt_consolidation,0.13,RENT,4583.33,735,5,3644,1
74,12000,12000,0.17,36,credit_card,0.15,OWN,4583.33,665,12,9145,1
75,6000,6000,0.15,36,other,0.16,RENT,3833.33,670,11,5760,1
76,6725,825,0.13,36,debt_consolidation,0.13,MORTGAGE,5000,670,10,5513,9
77,4500,4500,0.07,36,debt_consolidation,0.15,MORTGAGE,2666.67,790,7,2705,0
78,1600,1600,0.11,36,other,0.05,RENT,2427,700,5,7020,0
79,10000,10000,0.18,36,wedding,0.3,OWN,2500,665,5,8379,0
80,18550,18525,0.08,36,debt_consolidation,0.17,MORTGAGE,5416.67,725,10,28877,0
81,7450,7450,0.13,36,debt_consolidation,0.03,MORTGAGE,5883.33,710,2,6416,1
82,3225,3225,0.08,36,debt_consolidation,0.18,MORTGAGE,5833.33,760,5,70323,1
83,23675,23675,0.18,36,credit_card,0.3,OWN,6399,680,21,21920,0
84,12000,12000,0.12,36,debt_consolidation,0.19,RENT,5833.33,690,16,18838,0
85,25000,25000,0.16,36,debt_consolidation,0.18,RENT,6000,695,9,10630,2
86,16000,15850,0.11,36,credit_card,0.18,MORTGAGE,6666.67,725,7,18659,4
87,4200,4175,0.09,36,car,0.1,MORTGAGE,3041.67,810,4,1548,0
88,10000,10000,0.14,36,debt_consolidation,0.21,RENT,4583.33,675,11,8548,0
89,6000,6000,0.08,36,home_improvement,0.03,MORTGAGE,4800,750,4,1442,0
90,6000,6000,0.13,36,debt_consolidation,0.15,RENT,3333.33,685,7,12503,2
91,7925,7925,0.16,36,debt_consolidation,0.21,RENT,2000,665,6,7840,0
92,16000,15925,0.08,36,debt_consolidation,0.06,MORTGAGE,6000,765,8,19539,0
93,9525,9500,0.16,36,small_business,0.11,RENT,2666.67,670,15,5610,1
94,6000,6000,0.14,36,debt_consolidation,0.14,MORTGAGE,2500,675,9,3621,3
95,10000,9975,0.15,36,debt_consolidation,0.12,MORTGAGE,5250,675,4,3035,5
96,7000,7000,0.07,36,major_purchase,0.08,MORTGAGE,10000,750,9,6761,1
97,4500,4500,0.06,36,debt_consolidation,0.18,MORTGAGE,10000,765,18,17863,3
98,12000,12000,0.11,36,debt_consolidation,0.02,MORTGAGE,12500,735,13,10944,0
99,10375,10375,0.2,36,debt_consolidation,0.05,RENT,4166.67,665,9,6122,1
100,4800,4800,0.19,36,other,0.11,MORTGAGE,5833.33,670,8,17943,0
101,6400,6400,0.13,36,credit_card,0.11,MORTGAGE,4666.67,700,7,8942,1
102,5000,5000,0.08,36,debt_consolidation,0.17,OWN,4000,705,10,6023,0
103,12000,12000,0.07,36,credit_card,0.22,RENT,5250,740,11,20639,0
104,23850,23820.25,0.21,60,other,0.19,MORTGAGE,4250,690,23,37251,0
105,15000,15000,0.11,36,small_business,0.16,MORTGAGE,7083.33,720,14,338,2
106,8000,8000,0.08,36,other,0,MORTGAGE,3500,765,7,0,1
107,20000,20000,0.06,36,credit_card,0.19,MORTGAGE,14583.33,715,9,29044,0
108,20000,19975,0.13,36,debt_consolidation,0.15,RENT,8233.33,710,17,29756,2
109,10000,10000,0.14,36,debt_consolidation,0.11,RENT,2916.67,690,9,10390,3
110,18825,18825,0.14,36,credit_card,0.13,RENT,4000,710,6,20694,1
111,35000,34975,0.08,36,small_business,0.02,RENT,18333.33,775,10,1992,0
112,9000,9000,0.06,36,vacation,0.06,MORTGAGE,9583.33,815,11,675,0
113,4000,4000,0.06,36,home_improvement,0.15,RENT,4234,745,5,587,1
114,5750,5750,0.14,36,credit_card,0.12,RENT,5000,660,13,12465,0
115,20950,20950,0.16,36,debt_consolidation,0.16,MORTGAGE,12916.67,690,8,30188,1
116,8000,8000,0.11,36,credit_card,0.15,RENT,7500,710,9,7120,2
117,10000,10000,0.1,36,debt_consolidation,0.09,MORTGAGE,3333.33,725,8,8940,2
118,10000,10000,0.14,36,small_business,0.15,RENT,5000,675,7,4762,0
119,14000,14000,0.06,36,credit_card,0.2,MORTGAGE,6000,765,13,4140,0
120,5000,5000,0.08,36,credit_card,0.03,RENT,9000,735,3,12297,0
121,25000,25000,0.19,60,debt_consolidation,0.11,MORTGAGE,6250,700,8,15159,1
122,35000,35000,0.09,36,debt_consolidation,0.15,RENT,10416.67,735,9,21321,0
123,7200,7175,0.11,36,debt_consolidation,0.28,MORTGAGE,3750,690,8,20342,0
124,14000,14000,0.08,60,debt_consolidation,0.1,MORTGAGE,9000,760,17,23773,0
125,15000,14975,0.15,36,debt_consolidation,0.19,RENT,5132,680,4,34044,1
126,25000,25000,0.2,60,debt_consolidation,0.32,OWN,4916.67,695,21,35208,1
127,10800,10800,0.15,36,debt_consolidation,0.08,RENT,9583.33,675,6,6487,1
128,20000,20000,0.14,36,credit_card,0.21,MORTGAGE,6250,700,9,14268,1
129,4000,4000,0.11,36,debt_consolidation,0.02,RENT,2900,695,13,1869,1
130,16000,15950,0.16,36,debt_consolidation,0.24,MORTGAGE,9333.33,675,20,12721,5
131,1400,1400,0.1,36,vacation,0.27,MORTGAGE,4683.33,730,6,6466,0
132,7500,7500,0.16,36,debt_consolidation,0.13,MORTGAGE,4600,665,3,6120,0
133,24625,917.28,0.14,36,credit_card,0.13,MORTGAGE,10000,675,14,33698,0
134,5000,5000,0.14,36,debt_consolidation,0.29,MORTGAGE,5416.67,680,11,3977,1
135,25000,24975,0.1,36,debt_consolidation,0.2,RENT,7916.67,725,14,27203,0
136,7500,7500,0.16,36,debt_consolidation,0.13,RENT,4166.67,660,8,7430,0
137,34500,34450,0.07,36,small_business,0.16,MORTGAGE,10000,805,8,5317,0
138,10000,10000,0.06,36,debt_consolidation,0.06,MORTGAGE,12500,745,17,75629,0
139,3200,3200,0.1,36,debt_consolidation,0.07,RENT,4500,740,7,3198,0
140,5500,5500,0.16,60,debt_consolidation,0.18,RENT,4250,700,16,13256,0
141,3000,3000,0.1,36,debt_consolidation,0.22,OWN,1100,720,4,2413,0
142,18000,18000,0.23,60,debt_consolidation,0.09,RENT,7083.33,660,6,13106,0
143,10000,9700,0.1,36,debt_consolidation,0.14,MORTGAGE,4190,735,6,1251,1
144,8800,8800,0.13,36,credit_card,0.17,RENT,3150.25,700,13,14266,1
145,7000,7000,0.11,36,debt_consolidation,0.23,MORTGAGE,6000,705,17,19634,2
146,8000,8000,0.13,36,debt_consolidation,0.19,RENT,2625,725,8,7554,1
147,3000,3000,0.17,36,credit_card,0.17,RENT,3833.33,660,4,4136,0
148,12000,11975,0.08,36,debt_consolidation,0.12,RENT,7500,735,18,33702,1
